idx	word	count_total	0	1
222	the current bills require \u2014 get that passed too	0	0	0
223	current bills require \u2014 get that passed too	0	0	0
224	bit that the current bills require \u2014 get that	0	0	0
225	that the second amendment is obliterated	0	0	0
226	the second amendment is obliterated	0	0	0
227	obliterated	0	0	0
228	day that the second amendment is obliterated	0	0	0
229	<number> rounds in <number> sec said no policeman ever	1	0	1
230	civilians need assault weapons that fire <number> rounds in	0	0	0
231	of course civilians need assault weapons that fire	0	0	0
232	off over the senate refusing to pass gun control	0	0	0
233	over the senate refusing to pass gun control laws	2	0	2
234	t enough to spur senate to pass gun control	0	0	0
235	enough to spur senate to pass gun control <url>	2	0	2
236	<allcaps> that gun control black guy with glasses </allcaps>	1	1	0
237	<user> <allcaps> that gun control black guy with glasses	0	0	0
238	movetojapan </hashtag>	0	0	0
239	and how are they supposed to stop clinton	1	1	0
240	dumb </hashtag>	0	0	0
241	law	6	1	5
242	big law </hashtag> coming together like this	0	0	0
243	big law </hashtag>	0	0	0
244	constitutional rights	1	1	0
245	gun control advocates and trade away our constitutional rights	1	1	0
246	why do <allcaps> gop </allcaps> lawmakers think it	0	0	0
247	only as strong as our weakest state gun laws	3	0	3
248	mass	2	0	2
249	<allcaps> lgbt </allcaps> hate	0	0	0
250	mass murder	0	0	0
251	the mass murder is about two things	0	0	0
252	meant	0	0	0
253	is not what i meant by	1	0	1
254	noon	0	0	0
255	violence prevention	5	0	5
256	speak up for gun violence prevention	1	0	1
257	in on gun control <url> via <user>	0	0	0
258	no bill no break </hashtag>	7	3	4
259	house dems hold sit	0	0	0
260	just not enforced nor do they work in <allcaps>	0	0	0
261	work in <allcaps> chi </allcaps> even for min wage	1	0	1
262	<user> and pass gun laws	0	0	0
263	the senseless murder	0	0	0
264	sorry for the senseless murder of your family member	1	0	1
265	senseless murder	0	0	0
266	he did not even mention that the orlando shooting	0	0	0
267	even mention that the orlando shooting had islamic ties	1	1	0
268	islamic	0	0	0
269	towards stricter gun	0	0	0
270	disgusted by the dozens of republican leaders giving their	2	0	2
271	convince	0	0	0
272	to see gun control your way besides stand at	0	0	0
273	rhetoric does not	0	0	0
274	gun control your way besides stand at a podium	0	0	0
275	<url> tough gun control laws are not working so	2	2	0
276	tough gun control laws	0	0	0
277	checks and restrictions on people who use the gun	0	0	0
278	need tougher laws background checks and restrictions on people	0	0	0
279	tougher laws background checks and restrictions on people who	0	0	0
280	the gun emoji	0	0	0
281	i support the second amendment	0	0	0
282	killary	3	3	0
283	do you think somebody that wants to shoot up	0	0	0
284	gun laws are not going to change crap	0	0	0
285	do you think somebody that wants to shoot	0	0	0
286	wanna	2	0	2
287	wanna help stop gun violence	1	0	1
288	about a muslim ban instead of a gun ban	0	0	0
289	muslim ban instead of a	0	0	0
290	a gun ban	0	0	0
291	senseless	2	2	0
292	you take money from the <allcaps> nra </allcaps>	0	0	0
293	you can end senseless gun	0	0	0
294	you take money	0	0	0
295	chicago strictest gun laws highest amount of shootings	3	3	0
296	leave without	0	0	0
297	we will not leave without acting for the victims	2	0	2
298	open and concealed gun carry laws in tennessee	3	3	0
299	what about studying the health risks of	0	0	0
300	risks of gun violence as we do auto deaths	2	0	2
301	not	8	2	6
302	on behalf of gun violence control we desperately need	1	0	1
303	hope that during	0	0	0
304	i hope that during your administration	0	0	0
305	during your administration	0	0	0
306	how would you change the gun control laws	0	0	0
307	<user> how would you change the gun control laws	0	0	0
308	control laws	5	5	0
309	change the gun control laws	0	0	0
310	legislation	5	0	5
311	evening of the democrats sit in over gun legislation	2	0	2
312	<user> video <url> stephen colbert takes the gloves off	1	0	1
313	colbert takes	0	0	0
314	investigation on omar mateen was closed because	0	0	0
315	</allcaps> connection and they want to push gun control	1	1	0
316	connection and	0	0	0
317	accepted	0	0	0
318	this cannot be accepted as normal	0	0	0
319	thoughts and prayers are with <user>	1	0	1
320	gun control is bullshit	2	2	0
321	i am	5	0	5
322	standing with <user> and <user> to end gun violence	1	0	1
323	the australian gun ban conceit	2	2	0
324	australian gun ban conceit	0	0	0
325	<url> find and tweet your representative about gun control	0	0	0
326	representative	0	0	0
327	tweet your	0	0	0
328	else needs	0	0	0
329	all <number> gun control bills fail in the senate	1	0	1
330	gun control bills fail	0	0	0
331	or come together to defend their first amendment rights	0	0	0
332	<user> gun rights were made so that people	0	0	0
333	to defend their first amendment rights	0	0	0
334	that people could defend themselves or come together to	0	0	0
335	honor the victims by preventing future attacks	0	0	0
336	does not need prayers they need gun control laws	1	0	1
337	mother	0	0	0
338	help protect my kids by supporting gun control reform	1	0	1
339	i am counting on you to help protect	0	0	0
340	<user> show me where it says gun control	1	1	0
341	<user> <user> show me where it says gun control	0	0	0
342	distraction from failed control	0	0	0
343	you want a civil war keep up gun control	1	1	0
344	a civil war keep up	0	0	0
345	ended due	0	0	0
346	dreams of becoming successful in music was ended due	0	0	0
347	in music was ended due to senseless gun violence	1	0	1
348	life liberty pursuit of happiness of103 are obliterated by	2	2	0
349	life liberty pursuit of happiness of103 get obliterated by	2	2	0
350	petition	0	0	0
351	could sign my petition to help end gun violence	1	0	1
352	hi rachel maddow	0	0	0
353	sense gun control laws are desperately needed in the	0	0	0
354	common sense gun control laws are desperately needed in	0	0	0
355	are	9	1	8
356	not the problem	0	0	0
357	but the gun is not the problem	2	2	0
358	bernie	0	0	0
359	blood on the hands of our recalcitrant legislators	1	0	1
360	blood on	0	0	0
361	<user> jihadists attack with semi auto	2	2	0
362	leftists call	0	0	0
363	untitled	0	0	0
364	honoring gun violence victims and noting the enormity of	0	0	0
365	honoring gun violence victims	0	0	0
366	violence victims and noting the enormity of the problem	0	0	0
367	but does not chicago have strictest gun control laws	2	2	0
368	chicago have strictest gun control laws	0	0	0
369	they retell	0	0	0
370	when <user> filibuster they retell the pain gun violence	2	0	2
371	not even allow the	0	0	0
372	allow the <allcaps> cdc </allcaps> to study gun violence	0	0	0
373	will not even allow the <allcaps> cdc </allcaps> to	0	0	0
374	even allow the <allcaps> cdc </allcaps> to study gun	0	0	0
375	with the unconstitutional gun laws happening in california	0	0	0
376	unconstitutional gun laws happening	0	0	0
377	the unconstitutional gun laws happening	0	0	0
378	plans with the unconstitutional gun laws happening in california	0	0	0
379	chicago the shoot me city with massive gun control	2	2	0
380	massive gun control	0	0	0
381	i support and stand with <user> and gun control	0	0	0
382	i support and stand with <user> and	0	0	0
383	he should have never been able to buy	0	0	0
384	failure of the <allcaps> fbi </allcaps> and our gov	1	1	0
385	gov	1	1	0
386	abiding gun owners for the actions of law breakers	1	1	0
387	law abiding gun owners for the actions	0	0	0
388	abiding gun owners	0	0	0
389	lose a	1	0	1
390	thank you to <user> for continuing to speak out	0	0	0
391	should have to lose a child to gun violence	0	0	0
392	have to lose a child	0	0	0
393	gun bans don \u2019 t reduce the murder rate	2	2	0
394	harvard gun study concludes gun bans	0	0	0
395	moot	1	1	0
396	talk about gun control	0	0	0
397	s a moot point to talk about gun control	0	0	0
398	not supporting tougher gun control	0	0	0
399	gun control or even stepping up to say it	0	0	0
400	by not supporting tougher gun control or even stepping	0	0	0
401	not supporting tougher gun control or even	0	0	0
402	gun control fanatics	0	0	0
403	our gun control fanatics to start promoting truck control	1	1	0
404	<user> <user> we need our	0	0	0
405	</allcaps> is why donald trump cannot be elected	0	0	0
406	this </allcaps> is why donald trump cannot be elected	1	0	1
407	why donald trump cannot be elected	0	0	0
408	the deadliest mass shooting on u.s. soil in history	2	2	0
409	mass shooting	3	1	2
410	violence costs	0	0	0
411	gun violence costs mn over <money> million each year	1	0	1
412	gun violence costs mn	0	0	0
413	you feel threatened by gun control watch this video	1	0	1
414	feel threatened	0	0	0
415	threatened by gun control watch	0	0	0
416	incid	0	0	0
417	the do nothing policy	2	0	2
418	policy	4	2	2
419	that \u2019 s all they did	1	0	1
420	i am speaking	19	0	19
421	speaking up for gun violence prevention \u2014 will you	10	0	10
422	i am speaking up for gun violence prevention	9	0	9
423	killing	2	1	1
424	gun violence are likely the same ones that approve	0	0	0
425	these politicians sitting in against gun violence are likely	0	0	0
426	same ones that approve the killing of unborn babies	0	0	0
427	obligation to vote	5	0	5
428	<user> you have a moral obligation to vote	6	0	6
429	no bill no break </hashtag> we demand	4	0	4
430	a moral	5	0	5
431	on orlando shooting	0	0	0
432	senator cruz on orlando shooting and gun violence <user>	0	0	0
433	watching senator cruz on orlando shooting and gun violence	0	0	0
434	cruz on orlando shooting and gun violence <user>	0	0	0
435	shooter got	0	0	0
436	to find out how the shooter got the gun	0	0	0
437	ladies and gentlemen	0	0	0
438	as we head into another gun control fight	0	0	0
439	violence is like blaming the infection for the wound	2	2	0
440	blaming the <allcaps> nra </allcaps> for gun	0	0	0
441	whoopi goldberg sets her sights on second amendment supporters	0	0	0
442	morons	0	0	0
443	that show are morons	0	0	0
444	we do have gun control laws	1	1	0
445	<allcaps> the bad guys don </allcaps>	0	0	0
446	do not think suicide should be counted towards gun	3	3	0
447	doesnt	0	0	0
448	robust gun regulation and still protect responsible gun owners	2	0	2
449	limit	0	0	0
450	can \u2019 t do anything to limit gun violence	1	0	1
451	insane that congress can	0	0	0
452	black market for guns will just	0	0	0
453	black market for guns will just grow	1	1	0
454	gun law	0	0	0
455	s new gun control push	0	0	0
456	</allcaps> study on gun violence <allcaps> destroys </allcaps> obama	1	1	0
457	cdc	2	0	2
458	about the sc gun owner stopping mass murder	0	0	0
459	silent about the sc gun owner stopping mass murder	1	1	0
460	incredibly silent	0	0	0
461	likes of you should never come this way again	2	0	2
462	ambiguous wink	0	0	0
463	ambiguous wink wink to \u2018 second amendment people \u2019	16	0	16
464	guns either way	0	0	0
465	to do these acts will get guns either way	1	1	0
466	gun control only hurts the	0	0	0
467	am afraid of gun control repercussions	0	0	0
468	i think i am afraid of gun control repercussions	1	0	1
469	religion	0	0	0
470	the second amendment is my gun permit	1	1	0
471	second amendment is my gun permit	0	0	0
472	<user> i propose sanctuary cities from gun laws	2	2	0
473	do not mess with the second amendment	0	0	0
474	<user> do not mess with the	0	0	0
475	reason	0	0	0
476	<user> do not mess with the second amendment	0	0	0
477	chicago	0	0	0
478	said nothing in regards to gun control for chicago	1	0	1
479	rn cin cle	1	0	1
480	not forget the second amendment	0	0	0
481	not forget the second amendment is still in tact	1	1	0
482	tact	0	0	0
483	trouble	0	0	0
484	as we continue the community dialogue on gun violence	1	0	1
485	so many voices as we	0	0	0
486	done about gun	0	0	0
487	something needs to be done about gun violence in	0	0	0
488	victims and their loved ones in	0	0	0
489	to the victims and their loved ones in orlando	0	0	0
490	i need better gun control	0	0	0
491	ann kuster expressing that i need better gun control	1	0	1
492	leaving messages	0	0	0
493	they are holding the line on no more gun	0	0	0
494	the republicans in the house so far they are	0	0	0
495	pass	10	0	10
496	time to pass stronger gun safety laws <allcaps> now	4	0	4
497	to pass stronger gun safety laws <allcaps> now </allcaps>	4	0	4
498	do	5	1	4
499	second amendment	36	17	19
500	tell them to go back to	0	0	0
501	debate night	7	2	5
502	just tell them to go back to the founders	0	0	0
503	gun reform is not stripping 2 nd amendment rights	2	0	2
504	nd amendment rights	1	1	0
505	tomorrow	2	0	2
506	national gun safety awareness day	0	0	0
507	wear orange </hashtag> national gun safety awareness day <user>	0	0	0
508	tomorrow is	0	0	0
509	past	0	0	0
510	to increasingly heartbreaking news about gun violence in orlando	1	0	1
511	<number> mornings i have woken up to increasingly heartbreaking	0	0	0
512	furious that was a terrific gun control	0	0	0
513	gun control act	0	0	0
514	fast	2	2	0
515	no matter what your opinion	3	3	0
516	took this army vet <number> minutes to destroy obama	3	3	0
517	s gun control plan <url> via	0	0	0
518	destroy	3	2	1
519	<user> thank you for sitting in for gun control	1	0	1
520	standing with you in <allcaps> nyc </allcaps>	0	0	0
521	no bill no break	3	0	3
522	sake	0	0	0
523	may the community find care	1	0	1
524	find care	0	0	0
525	terrorism not an issue of gun	0	0	0
526	an act of terrorism not an issue of gun	1	1	0
527	horrific acts	0	0	0
528	he knows damn well chicago	0	0	0
529	well chicago has the highest gun violence in the	1	0	1
530	highest	1	0	1
531	terrorist attack gun control would have not changed anything	2	2	0
532	attack gun	0	0	0
533	blame	4	2	2
534	is and lack of gun control is to blame	1	0	1
535	wing hatred against <allcaps> lbgt	0	0	0
536	lost	9	1	8
537	many more lives lost before something is done about	1	0	1
538	lives lost before	0	0	0
539	died	3	0	3
540	many americans died today from the gun violence epidemic	1	0	1
541	how many americans died today	0	0	0
542	scotus </allcaps> once again chips away at gun rights	2	2	0
543	scotus </allcaps> once again chips away at	0	0	0
544	who changed the gun emoji to this \ud83d\udd2b	1	1	0
545	gun emoji to this \ud83d\udd2b	0	0	0
546	hillary for prison	0	0	0
547	flipped	1	1	0
548	donald trump just flipped on gun control <url> via	0	0	0
549	armed gays do not get bashed	1	1	0
550	armed gays	0	0	0
551	this is the reality of gun control	0	0	0
552	lewis once	0	0	0
553	john lewis once again stood up for human dignity	2	0	2
554	lives we have lost to gun violence in evanston	1	0	1
555	no bill no	4	0	4
556	unacceptable	1	0	1
557	at survivors of gun violence during testimony against sb12	5	0	5
558	vote on gun control legislation <allcaps> now </allcaps>	19	0	19
559	demanding	4	0	4
560	demanding action on gun control	10	0	10
561	victim chides	1	0	1
562	sandy hook victim chides <user> on gun violence <url>	3	0	3
563	of sandy hook victim chides <user> on gun violence	1	0	1
564	and instead instantly	1	1	0
565	instead instantly goes to gun control	0	0	0
566	in charge that can not even say the words	0	0	0
567	legalized pot and passed gun control for trade shows	2	0	2
568	nevada legalized pot and passed gun control for trade	0	0	0
569	lobby	0	0	0
570	only the interests of the gun lobby	0	0	0
571	evidence that congress does	0	0	0
572	congress does not have the interests of the citizens	0	0	0
573	school	1	1	0
574	health and learn from his insights on gun violence	1	0	1
575	public health and learn from his insights on gun	0	0	0
576	epi	0	0	0
577	a crisis and physicians must know how to respond	1	0	1
578	epi analysis of gun violence is vital	0	0	0
579	mass shootings	1	0	1
580	no other western country has mass shootings like this	2	0	2
581	epidemic	4	0	4
582	this country to stop the epidemic of gun violence	1	0	1
583	lot	0	0	0
584	clear conscience	0	0	0
585	we have done what we can on gun control	0	0	0
586	conscience	0	0	0
587	result of lax gun laws in neighboring indiana and	2	0	2
588	direct result of lax gun laws in	0	0	0
589	a	6	0	6
590	18 days </hashtag> campaign against gun violence from	2	0	2
591	said	1	0	1
592	is no longer about	0	0	0
593	all lives matter </hashtag> i said it before	0	0	0
594	2 a but this is no longer about that	0	0	0
595	mass shooting that would lead him to review gun	2	0	2
596	has already been ruled unconstitutional	1	0	1
597	only solution for gun violence is something that has	0	0	0
598	violence is something that has already been ruled unconstitutional	0	0	0
599	my most recent op ed	0	0	0
600	practices can be a model for offstage gun control	1	0	1
601	recent op	0	0	0
602	kneed cave in on allowing the gun control vote	2	2	0
603	you are spineless to stand up against the dems	0	0	0
604	half	0	0	0
605	has tripled in last <number> years while gun violence	0	0	0
606	has tripled	0	0	0
607	<number> years while gun violence has fallen by half	0	0	0
608	insane	1	0	1
609	the gun control capitol of the world	0	0	0
610	gun control capitol of the world	0	0	0
611	control problem	0	0	0
612	me we do not have a gun control problem	0	0	0
613	not have a homophobia problem	0	0	0
614	tell me we do not have a homophobia problem	0	0	0
615	is wrong on the second amendment <url> via <user>	0	0	0
616	amendment <url> via <user> <allcaps> need more evidence	0	0	0
617	supreme court	1	1	0
618	supreme court is wrong on the second amendment	0	0	0
619	gun loving christian citizens of texas are going blue	2	2	0
620	<user> gun regulation on works on law abiding folks	2	2	0
621	gun loving christian citizens	0	0	0
622	patrol as gun control we might not have a	1	1	0
623	hey gun control libtardians	0	0	0
624	<user> <allcaps> hey gun control libtardians </allcaps>	0	0	0
625	gun control libtardians	0	0	0
626	2 gether wage war agst gun violence	0	0	0
627	leaders stand 2 gether wage war agst gun violence	1	0	1
628	get the ppl leaders stand 2 gether wage war	0	0	0
629	to stop this bullshit not blame it on gun	0	0	0
630	stop this bullshit not blame it on gun	0	0	0
631	this bullshit not blame it on gun	0	0	0
632	liberal media	0	0	0
633	is just to detract us from the real issue	1	0	1
634	conceal	0	0	0
635	is first and foremost about gun laws on accessibility	0	0	0
636	gun violence impact is first and foremost about gun	0	0	0
637	point <user> gun violence impact is first and foremost	0	0	0
638	skipped	0	0	0
639	in dc now demanding action to end gun violence	1	0	1
640	country are in dc now demanding action to end	0	0	0
641	gun control rhetoric in the wake of charleston massacre	2	2	0
642	phony gun control rhetoric	0	0	0
643	gun violence and terror under the guise of freedom	1	0	1
644	republicans are enabling gun violence and	0	0	0
645	a massive	0	0	0
646	<allcaps> gun control will call for a massive purge	0	0	0
647	gun control will call	0	0	0
648	they confiscate all the guns already on the streets	6	6	0
649	did they confiscate all the guns already on the	1	1	0
650	law only recently banned	2	2	0
651	she thinks about gun control and stop and frisk	2	0	2
652	ban for those on terror watch list <url> via	0	0	0
653	backing gun ban for those on terror watch list	0	0	0
654	trump affirms backing gun ban for	0	0	0
655	screening	0	0	0
656	need for action to address the gun violence epidemic	1	0	1
657	pleased	0	0	0
658	no sniff yet </hashtag>	1	0	1
659	justice that will uphold the second amendment	0	0	0
660	liberals </hashtag> point to the uk abt	0	0	0
661	they start voting for ltd	1	1	0
662	liberals </hashtag> point	0	0	0
663	mao zedong knew	0	0	0
664	ownership is about political power the founders	1	1	0
665	zedong knew	0	0	0
666	this november	0	0	0
667	ohio voters will remember this november	1	0	1
668	you voted no on bipartisan	0	0	0
669	sucks but this is not an issue of gun	0	0	0
670	an issue of gun control	0	0	0
671	jihad being waged	0	0	0
672	but this is not an issue of gun control	0	0	0
673	gun control was never meant for criminals	2	2	0
674	laws does not affect criminals	0	0	0
675	sending	3	0	3
676	thoughts and prayers to the victims of gun violence	2	0	2
677	i stand	0	0	0
678	my local representatives every time it occurs <url>	1	0	1
679	local representatives	0	0	0
680	floor	4	0	4
681	for standing up for gun control	1	0	1
682	why gun owners should reject trump	1	0	1
683	<user> <url>	0	0	0
684	why gun owners	1	0	1
685	calling	1	0	1
686	<user> standing with gun violence survivors calling for	1	0	1
687	<user> standing with gun violence	0	0	0
688	control laws help stop mass shooting and violent crime	3	3	0
689	what really matters \u2026 our second amendment \u2026 <user>	0	0	0
690	<user> lets worry about what really matters \u2026 our	0	0	0
691	worry	0	0	0
692	about except trump defending the second amendment	0	0	0
693	press can not find anything to	0	0	0
694	to talk about except trump defending the second amendment	0	0	0
695	liberals </hashtag> are suddenly worried about	0	0	0
696	trump </hashtag> ignoring the constitution	0	0	0
697	<number> years of trying to destroy the second amendment	0	0	0
698	hay	1	1	0
699	hay tom try and talk about gun control today	1	1	0
700	refuses to lift ban on	0	0	0
701	doctors treat victims of gun violence	1	0	1
702	refuses to lift ban on research	0	0	0
703	talking filibuster over	0	0	0
704	murphy starts talking filibuster over gun control \u2013 sen	2	1	1
705	house democrats ended their sit	1	0	1
706	in milwaukee	0	0	0
707	important stories about kids and gun violence in milwaukee	1	0	1
708	important stories about kids and gun violence	0	0	0
709	had gun control supporters planted in town hall audience	2	2	0
710	hillary clinton had gun	0	0	0
711	actually	0	0	0
712	we need <allcaps> sensible </allcaps> gun laws	1	0	1
713	that actually	0	0	0
714	iq survey comparing pro	0	0	0
715	they did not get rich because they were stupid	0	0	0
716	an iq survey comparing pro	0	0	0
717	be interesting to see an iq survey comparing pro	0	0	0
718	justices that feel very strongly about 2 nd amendment	0	0	0
719	high number of gun deaths	0	0	0
720	has toughest gun laws	0	0	0
721	appoint justices that feel very strongly about 2 nd	0	0	0
722	criminal law committeespringfield \u2013	0	0	0
723	criminal law committeespringfield \u2013 with gun violence reaching record	1	1	0
