,tweetId,tweetIdx,group,content,rawContent,screenName,valence,valenceGrpPred,valenceSeq,valenceSeqRank,dominance,dominanceGrpPred,dominanceSeq,dominanceSeqRank,care,careGrpPred,careSeq,careSeqRank,fairness,fairnessGrpPred,fairnessSeq,fairnessSeqRank,loyalty,loyaltyGrpPred,loyaltySeq,loyaltySeqRank,authority,authorityGrpPred,authoritySeq,authoritySeqRank,purity,purityGrpPred,puritySeq,puritySeqRank,pred,prob,clusterId,pdpValue
1173,745991821742977000,1173,1,"if you do one thing today , watch this video of <user> personalizing gun violence . <hashtag> telling her truth </hashtag> <url>","if you do one thing today , watch this video of <user> personalizing gun violence . <hashtag> telling her truth </hashtag> <url>",User1173,0.666666667,1,personalizing,1.876794517,0.458333333,1,watch this video of <user> personalizing gun violence,2.872455987,0,1,watch this video of <user> personalizing gun violence,2.859682531,1,1,truth,1.485152107,2,0,her truth </hashtag>,2.963766529,3,1,watch this video of <user> personalizing gun violence,2.883144415,1,0,if,0.370074243,0,0.4,0,
1252,746153929352806400,1252,0,""" “ social media told our story , ” rep . john lewis says as he ends house democrats ’ gun control sit - in "" <url>",""" “ social media told our story , ” rep . john lewis says as he ends house democrats ’ gun control sit - in "" <url>",User1252,0.708333333,0,told,0.876659618,0.458333333,1,as he ends house democrats ’ gun control sit,2.84231816,0,1,as he ends house democrats ’ gun control sit,3.178289715,1,1,as he ends house democrats ’ gun control sit,3.142410933,2,0,john lewis,2.301467179,3,1,as he ends house democrats ’ gun control sit,3.207678599,1,0,as he ends house democrats ’ gun control sit,2.020507996,0,0.4,0,
1428,754858424119201800,1428,1,"in gun control debate , let ’ s recognize ‘ well - regulated ’ : <url>","in gun control debate , let ’ s recognize ‘ well - regulated ’ : <url>",User1428,0.770833333,1,control debate,1.540727095,0.416666667,1,let ’ s recognize ‘ well,2.760200574,0,1,let ’ s recognize ‘ well,2.823901101,1,1,in gun control debate,2.880117348,2,0,let ’ s recognize ‘ well,2.758757606,2,0,in,0.523679092,1,0,in,0.49232627,0,0.4,0,
1462,748115755443621900,1462,0,"new post added at american patriot radio - are the <allcaps> potus </allcaps> election polls , gun control , benghazi report up to . <repeated> <url>","new post added at american patriot radio - are the <allcaps> potus </allcaps> election polls , gun control , benghazi report up to . <repeated> <url>",User1462,0.729166667,0,benghazi,1.73605388,0.4375,0,the <allcaps> potus </allcaps> election polls,2.747038035,0,0,benghazi report up,2.502775389,1,0,<allcaps> potus </allcaps> election polls,2.831311276,2,0,are the <allcaps> potus </allcaps> election polls,1.924784938,2,0,potus,1.373452487,1,0,new,0.661487271,0,0.4,0,
1634,768842369789628400,1634,0,<user> <user> <user> hey tom what ' s your solution to gun violence .,<user> <user> <user> hey tom what ' s your solution to gun violence .,User1634,0.666666667,0,s,1.853774061,0.416666667,1,s your solution to gun violence,2.675697896,0,0,s your solution to gun violence,2.81471178,1,0,violence,0.444687655,2,0,<user> <user> <user> hey tom what,3.197760815,2,0,to,0.667463959,1,0,<user>,0.187780526,0,0.4,0,
1889,743834975032774700,1889,0,what can the u.s. learn from norway ' s gun laws ? <url> via <user> a today,what can the u.s. learn from norway ' s gun laws ? <url> via <user> a today,User1889,0.770833333,0,s gun laws,2.496608696,0.4375,0,gun laws,2.559403291,0,0,<url> via <user> a,2.412710408,1,0,laws,0.344789401,2,0,what can the u.s. learn from norway,2.929452912,2,0,what,0.481228397,1,0,what,0.397126789,0,0.4,0,
2183,751210836794880000,2183,0,"<user> i found your "" segregated second amendment "" column very interesting . i hope you will write and post a f / u once facts are known .","<user> i found your "" segregated second amendment "" column very interesting . i hope you will write and post a f / u once facts are known .",User2183,0.833333333,0,<user> i found your,2.204195337,0.458333333,0,once facts are,2.404957506,0,0,u once facts are known,2.475061707,1,1,amendment,0.26671139,2,0,are known,2.371737509,2,0,<user>,0.303111059,1,0,<user>,0.200073836,0,0.4,0,
2459,799442683894829000,2459,0,"how donald trump could end numerous gun controls in ca , il , ny , and nj - breitbart <url> via <user>","how donald trump could end numerous gun controls in ca , il , ny , and nj - breitbart <url> via <user>",User2459,0.666666667,0,donald trump could end numerous gun controls in ca,2.881795436,0.458333333,0,numerous gun controls in,2.199903838,0,0,donald trump could end numerous gun controls in ca,3.281811614,1,0,donald trump could end numerous gun,3.123255571,2,0,donald trump could end numerous gun controls in ca,2.760956502,2,0,donald trump could end,2.646516141,1,0,how,0.404481048,0,0.4,0,
2499,752570211715481600,2499,1,"race , gun control , inequality , education , violence culture and drugs < < < all of them are important to discuss > > > <url>","race , gun control , inequality , education , violence culture and drugs < < < all of them are important to discuss > > > <url>",User2499,0.6875,1,drugs,1.62422154,0.4375,0,violence culture and drugs,2.159813799,0,1,all of them are important to discuss,3.037332011,1,1,violence culture and drugs,2.20852954,2,0,all of them are important to discuss,2.952429499,2,0,race,2.123273962,1,0,race,1.687285193,0,0.4,0,
2538,805224717976293400,2538,1,you will never see the twist in this gun violence <allcaps> psa </allcaps> coming <url> via <user>,you will never see the twist in this gun violence <allcaps> psa </allcaps> coming <url> via <user>,User2538,0.666666667,1,<allcaps> psa,1.528108724,0.416666667,1,this gun violence <allcaps> psa </allcaps> coming <url> via,2.118221094,0,1,this gun violence <allcaps> psa </allcaps> coming <url> via,2.904188362,1,1,gun violence,0.677705295,2,0,this gun violence <allcaps> psa </allcaps> coming <url> via,2.550191839,2,1,you,0.315807473,1,0,you,0.537203371,0,0.4,0,
2641,765213642547564500,2641,1,<allcaps> nih </allcaps> grants for gun violence research quietly double — from <number> to <number> : <url> via <user>,<allcaps> nih </allcaps> grants for gun violence research quietly double — from <number> to <number> : <url> via <user>,User2641,0.8125,1,nih </allcaps> grants,1.797889376,0.4375,1,violence research quietly double — from <number> to <number>,1.987740633,0,1,violence research quietly double — from <number> to <number>,2.086621415,1,1,<allcaps> nih </allcaps> grants for gun violence research quietly,2.310283451,2,0,violence research quietly double — from <number> to <number>,2.331146356,2,0,<allcaps>,0.395850644,1,0,<allcaps>,0.30078425,0,0.4,0,
2642,763395892778905600,2642,1,<allcaps> nih </allcaps> grants for gun violence research quietly double — from <number> to <number> : <url> via <user>,<allcaps> nih </allcaps> grants for gun violence research quietly double — from <number> to <number> : <url> via <user>,User2642,0.8125,1,nih </allcaps> grants,1.797889376,0.4375,1,violence research quietly double — from <number> to <number>,1.987740633,0,1,violence research quietly double — from <number> to <number>,2.086621415,1,1,<allcaps> nih </allcaps> grants for gun violence research quietly,2.310283451,2,0,violence research quietly double — from <number> to <number>,2.331146356,2,0,<allcaps>,0.395850644,1,0,<allcaps>,0.30078425,0,0.4,0,
2653,828192669016944600,2653,0,the dl | s1 e1 : “ the truth about the second amendment ” <url>,the dl | s1 e1 : “ the truth about the second amendment ” <url>,User2653,0.729166667,0,second amendment,0.505760988,0.416666667,0,truth,1.968251047,0,0,“ the truth about the second amendment ”,3.553626835,1,0,amendment,0.289270431,2,0,“ the truth about the second amendment ”,2.983609106,2,0,the,0.348482786,1,0,the,0.278319199,0,0.4,0,
2710,763197169629225000,2710,1,read this in light of donald trump ' s second amendment comment today . <url>,read this in light of donald trump ' s second amendment comment today . <url>,User2710,0.666666667,1,second amendment comment,2.758970394,0.416666667,1,comment,1.882472526,0,1,this in light of donald trump,2.839198175,1,0,amendment,0.327563529,2,0,read this in light of donald trump,3.333169445,2,1,trump,0.42853479,1,0,read,0.854018551,0,0.4,0,
2826,780584551051591700,2826,1,"racial justice : restore trust , police - community relations , gun violence <hashtag> hrc </hashtag> <hashtag> debate night </hashtag>","racial justice : restore trust , police - community relations , gun violence <hashtag> hrc </hashtag> <hashtag> debate night </hashtag>",User2826,0.75,1,racial justice,2.435258753,0.416666667,1,hrc </hashtag>,1.536444379,0,1,gun violence,0.590843782,0,1,debate night,0.549882199,2,0,debate night,1.016787843,2,0,racial,0.906510927,1,0,racial,1.047227803,0,0.4,0,
3083,751039423882616800,3083,0,the star of <number> bourne identity movies ( a man using a gun throughout the movie ) is <number> gun control <url>,the star of <number> bourne identity movies ( a man using a gun throughout the movie ) is <number> gun control <url>,User3083,0.6875,0,using a gun throughout the,3.149152931,0.458333333,0,gun control,0.672215977,0,0,a man using a gun throughout the movie,3.040152598,0,0,identity,1.66135818,2,0,a man using a gun throughout the movie,2.429581853,2,0,the,0.366685851,1,0,the,0.285229739,0,0.4,0,
3093,745859141399384000,3093,1,i liked a <user> video <url> stephen colbert takes the gloves off : gun control,i liked a <user> video <url> stephen colbert takes the gloves off : gun control,User3093,0.854166667,0,<user> video <url> stephen colbert takes the gloves off,3.337307583,0.4375,0,gun,0.582142584,0,1,<user> video <url> stephen colbert takes the gloves off,3.13390477,1,0,colbert takes,2.401451284,2,0,<user> video <url>,3.09755896,2,0,colbert,1.182707148,1,0,i,0.252134821,0,0.4,0,
